nnet,tarantula,ochiai,zoltar,kulczynski1,kulczynski2,wong,wong1,wong2,tandg
0.354581673,0.145418327,0.145418327,0.145418327,0.145418327,0.145418327,0.177290837,0.145418327,0.581673307,0.452191235
0.031358885,0.672473868,0.43902439,0.43902439,0.365853659,0.547038328,0.365853659,0.365853659,0.421602787,0.365853659
0.038327526,0.62369338,0.400696864,0.400696864,0.400696864,0.365853659,0.400696864,0.400696864,0.324041812,0.400696864
0.773519164,0.68989547,0.365853659,0.365853659,0.432055749,0.473867596,0.432055749,0.432055749,0.324041812,0.432055749
0.926829268,0.780487805,0.56445993,0.56445993,0.602787456,0.554006969,0.554006969,0.554006969,0.348432056,0.554006969
0.398496241,0.954887218,0.266917293,0.266917293,0.266917293,0.266917293,0.266917293,0.266917293,0.815789474,0.266917293
0.909774436,0.552631579,0.909774436,0.909774436,0.669172932,0.909774436,0.909774436,0.909774436,0,0.909774436
0.909774436,0.864661654,0.909774436,0.909774436,0.909774436,0.909774436,0.909774436,0.909774436,0,0.909774436
0.766917293,0.477443609,0.590225564,0.590225564,0.477443609,0.590225564,0.139097744,0.590225564,0.184210526,0.590225564
0.87593985,0.87593985,0.394736842,0.394736842,0.785714286,0.394736842,0.394736842,0.312030075,0.563909774,0.312030075
0.172932331,0.259398496,0.417293233,0.417293233,0.304511278,0.443609023,0.417293233,0.443609023,0.184210526,0.443609023
0.323308271,0.552631579,0.909774436,0.909774436,0.669172932,0.909774436,0.909774436,0.909774436,0,0.909774436
0.146616541,0.413533835,0.526315789,0.526315789,0.469924812,0.526315789,0.526315789,0.526315789,0.42481203,0.526315789
0.639097744,0.240601504,0.436090226,0.436090226,0.312030075,0.436090226,0.436090226,0.436090226,0.473684211,0.436090226
0.081967213,0.737704918,0.737704918,0.737704918,0.737704918,0.737704918,0.737704918,0.680327869,0.860655738,0.737704918
0.918032787,0.918032787,0.918032787,0.918032787,0.918032787,0.918032787,0.918032787,0.918032787,0.040983607,0.918032787
0.12295082,0.245901639,0.245901639,0.245901639,0.245901639,0.245901639,0.245901639,0.245901639,0.327868852,0.245901639
0.819672131,0.778688525,0.778688525,0.778688525,0.778688525,0.778688525,0.778688525,0.680327869,0.860655738,0.778688525
0.62295082,0.245901639,0.245901639,0.245901639,0.245901639,0.245901639,0.245901639,0.245901639,0.286885246,0.245901639
0,0.959016393,0.959016393,0.959016393,0.959016393,0.959016393,0.959016393,0.959016393,0.581967213,0.959016393
0.040983607,0.540983607,0.540983607,0.540983607,0.540983607,0.540983607,0.540983607,0.819672131,0.62295082,0.540983607
0,0.540983607,0.540983607,0.540983607,0.540983607,0.540983607,0.540983607,0.819672131,0.663934426,0.540983607
0.040983607,0.639344262,0.639344262,0.639344262,0.639344262,0.639344262,0.639344262,0.540983607,0.721311475,0.639344262
0.040983607,0.245901639,0.245901639,0.245901639,0.245901639,0.245901639,0.245901639,0.245901639,0.286885246,0.245901639
0.860655738,0.540983607,0.540983607,0.540983607,0.540983607,0.540983607,0.540983607,0.819672131,0.663934426,0.5
0,0.540983607,0.540983607,0.540983607,0.540983607,0.540983607,0.540983607,0.819672131,0.62295082,0.540983607
0.180327869,0.540983607,0.540983607,0.540983607,0.540983607,0.540983607,0.540983607,0.819672131,0.62295082,0.540983607
0.901639344,0.540983607,0.540983607,0.540983607,0.540983607,0.540983607,0.540983607,0.819672131,0.62295082,0.540983607
0.196721311,0.737704918,0.737704918,0.737704918,0.737704918,0.737704918,0.737704918,0.639344262,0.860655738,0.737704918
0.778688525,0.737704918,0.737704918,0.737704918,0.737704918,0.737704918,0.737704918,0.639344262,0.819672131,0.737704918
0.360655738,0.819672131,0.819672131,0.819672131,0.819672131,0.819672131,0.819672131,0.721311475,0.819672131,0.819672131
0.819672131,0.778688525,0.778688525,0.778688525,0.778688525,0.778688525,0.778688525,0.680327869,0.819672131,0.778688525
0.524590164,0.598360656,0.598360656,0.598360656,0.598360656,0.598360656,0.598360656,0.5,0.680327869,0.598360656
0.819672131,0.598360656,0.598360656,0.598360656,0.598360656,0.598360656,0.598360656,0.540983607,0.721311475,0.598360656
0.704918033,0.245901639,0.245901639,0.245901639,0.245901639,0.245901639,0.245901639,0.245901639,0.327868852,0.245901639
0.483606557,0.245901639,0.245901639,0.245901639,0.245901639,0.245901639,0.245901639,0.245901639,0.286885246,0.245901639
0.959016393,0.918032787,0.959016393,0.959016393,0.959016393,0.918032787,0.959016393,0.959016393,0.245901639,0.959016393
0.918032787,0.918032787,0.918032787,0.918032787,0.918032787,0.918032787,0.918032787,0.918032787,0.040983607,0.918032787
0.040983607,0.918032787,0.918032787,0.918032787,0.918032787,0.918032787,0.918032787,0.918032787,0.040983607,0.918032787
0.385245902,0.778688525,0.778688525,0.778688525,0.778688525,0.778688525,0.778688525,0.721311475,0.819672131,0.778688525
0.040983607,0.5,0.5,0.5,0.5,0.5,0.5,0.778688525,0.62295082,0.5
0.040983607,0.245901639,0.245901639,0.245901639,0.245901639,0.245901639,0.245901639,0.245901639,0.286885246,0.245901639
0.959016393,0.918032787,0.959016393,0.959016393,0.959016393,0.918032787,0.959016393,0.959016393,0.245901639,0.959016393
0.37704918,0.959016393,0.959016393,0.959016393,0.959016393,0.959016393,0.959016393,0.959016393,0.959016393,0.959016393
0.12295082,0.598360656,0.598360656,0.598360656,0.598360656,0.598360656,0.598360656,0.540983607,0.721311475,0.598360656
0.37704918,0.778688525,0.778688525,0.778688525,0.778688525,0.778688525,0.778688525,0.680327869,0.819672131,0.778688525
0.628664495,0.338762215,0.628664495,0.628664495,0.628664495,0.628664495,0.628664495,0.628664495,0.149837134,0.628664495
